symbol,timestamp_utc,open,high,low,close,volume,source,timeframe
SPY,2005-02-25T00:00:00+00:00,92.7949,93.8716,92.7097,93.6948,79289004,stooq,1d
SPY,2005-02-28T00:00:00+00:00,93.4735,93.5952,92.6083,93.0544,89985785,stooq,1d
SPY,2005-03-01T00:00:00+00:00,93.1845,93.7683,93.1845,93.5386,61658442,stooq,1d
SPY,2005-03-02T00:00:00+00:00,93.1749,94.0766,93.0735,93.4927,83253671,stooq,1d
SPY,2005-03-03T00:00:00+00:00,93.8716,94.0575,93.1203,93.5301,80491538,stooq,1d
SPY,2005-03-04T00:00:00+00:00,94.1512,94.7819,93.9675,94.7073,72809892,stooq,1d
SPY,2005-03-07T00:00:00+00:00,94.6499,95.0882,94.4327,94.7456,56781312,stooq,1d
SPY,2005-03-08T00:00:00+00:00,94.6594,94.8872,94.1991,94.3665,57895709,stooq,1d
SPY,2005-03-09T00:00:00+00:00,94.1043,94.3378,93.3148,93.3232,95400795,stooq,1d
SPY,2005-03-10T00:00:00+00:00,93.3329,93.7494,92.8868,93.5386,84641541,stooq,1d
SPY,2005-03-11T00:00:00+00:00,93.778,93.9102,92.6907,92.8868,75346247,stooq,1d
SPY,2005-03-14T00:00:00+00:00,92.8868,93.4833,92.8037,93.464,47099391,stooq,1d
SPY,2005-03-15T00:00:00+00:00,93.6811,93.7226,92.6438,92.6812,80992092,stooq,1d
SPY,2005-03-16T00:00:00+00:00,92.3499,92.5002,91.7421,91.9098,99446724,stooq,1d
SPY,2005-03-17T00:00:00+00:00,92.0648,92.3777,91.7987,92.101,81318454,stooq,1d
SPY,2005-03-18T00:00:00+00:00,91.8905,92.2321,91.1564,91.4504,80209634,stooq,1d
SPY,2005-03-21T00:00:00+00:00,91.5871,91.6435,90.8453,91.1221,79620680,stooq,1d
SPY,2005-03-22T00:00:00+00:00,91.3241,91.7519,90.2002,90.2002,120971319,stooq,1d
SPY,2005-03-23T00:00:00+00:00,90.2195,90.8283,90.0836,90.274,93252232,stooq,1d
SPY,2005-03-24T00:00:00+00:00,90.6289,91.0283,90.32,90.3851,67424176,stooq,1d
SPY,2005-03-28T00:00:00+00:00,90.5909,90.991,90.5114,90.5114,60842798,stooq,1d
SPY,2005-03-29T00:00:00+00:00,90.3851,90.9535,89.6961,89.9035,94676790,stooq,1d
SPY,2005-03-30T00:00:00+00:00,90.2002,91.2022,90.0931,91.1841,81522073,stooq,1d
SPY,2005-03-31T00:00:00+00:00,91.1938,91.3956,90.9258,91.0088,84310645,stooq,1d
SPY,2005-04-01T00:00:00+00:00,91.5135,91.8072,90.2002,90.6001,126236623,stooq,1d
SPY,2005-04-04T00:00:00+00:00,90.5564,90.9172,90.0739,90.7544,92814412,stooq,1d
SPY,2005-04-05T00:00:00+00:00,90.854,91.3335,90.7897,91.1938,64910508,stooq,1d
SPY,2005-04-06T00:00:00+00:00,91.3956,91.7708,91.1841,91.497,69097710,stooq,1d
SPY,2005-04-07T00:00:00+00:00,91.3613,92.0177,91.277,92.0007,61209472,stooq,1d
SPY,2005-04-08T00:00:00+00:00,91.9471,91.9843,91.0378,91.0378,83334418,stooq,1d
SPY,2005-04-11T00:00:00+00:00,91.2597,91.3698,90.8979,91.1221,59436913,stooq,1d
SPY,2005-04-12T00:00:00+00:00,90.9449,91.8619,90.32,91.5777,112205091,stooq,1d
SPY,2005-04-13T00:00:00+00:00,91.4683,91.6617,90.3764,90.5027,85621141,stooq,1d
SPY,2005-04-14T00:00:00+00:00,90.61,90.6635,89.3295,89.3295,129148331,stooq,1d
SPY,2005-04-15T00:00:00+00:00,89.3036,89.6498,88.0295,88.0669,173763858,stooq,1d
SPY,2005-04-18T00:00:00+00:00,88.0487,88.695,87.9176,88.3424,130023851,stooq,1d
SPY,2005-04-19T00:00:00+00:00,88.8039,89.2758,88.5973,89.0537,88656624,stooq,1d
SPY,2005-04-20T00:00:00+00:00,89.0451,89.2125,87.6027,87.7854,148844377,stooq,1d
SPY,2005-04-21T00:00:00+00:00,88.5636,89.6596,88.2449,89.5083,113367309,stooq,1d
SPY,2005-04-22T00:00:00+00:00,89.3036,89.8757,88.1665,89.1683,116441678,stooq,1d
SPY,2005-04-25T00:00:00+00:00,89.3973,89.8757,89.2854,89.7505,67871463,stooq,1d
SPY,2005-04-26T00:00:00+00:00,89.4795,90.0931,88.8363,88.8823,97680646,stooq,1d
SPY,2005-04-27T00:00:00+00:00,88.6242,89.5533,88.2985,89.2315,110411018,stooq,1d
SPY,2005-04-28T00:00:00+00:00,88.9359,89.2576,88.1119,88.1119,96261281,stooq,1d
SPY,2005-04-29T00:00:00+00:00,88.7855,89.4069,87.9261,89.312,135165377,stooq,1d
SPY,2005-05-02T00:00:00+00:00,89.5533,89.803,89.1415,89.803,72660708,stooq,1d
SPY,2005-05-03T00:00:00+00:00,89.5533,90.1571,89.2576,89.9666,112651084,stooq,1d
SPY,2005-05-04T00:00:00+00:00,89.9916,90.8453,89.713,90.6635,106913208,stooq,1d
SPY,2005-05-05T00:00:00+00:00,90.7897,91.0378,90.0739,90.6289,126141487,stooq,1d
SPY,2005-05-06T00:00:00+00:00,90.9822,91.0283,90.32,90.3381,90213901,stooq,1d
SPY,2005-05-09T00:00:00+00:00,90.4501,91.1134,90.3102,90.8904,56998543,stooq,1d
SPY,2005-05-10T00:00:00+00:00,90.5564,90.6635,89.7936,89.9666,97252668,stooq,1d
SPY,2005-05-11T00:00:00+00:00,90.2097,90.5735,89.3905,90.4645,119295448,stooq,1d
SPY,2005-05-12T00:00:00+00:00,90.52,90.718,89.0537,89.471,123874723,stooq,1d
SPY,2005-05-13T00:00:00+00:00,89.7227,89.9666,88.5715,89.2854,110742945,stooq,1d
SPY,2005-05-16T00:00:00+00:00,89.266,90.1478,89.2392,90.1198,63964862,stooq,1d
SPY,2005-05-17T00:00:00+00:00,89.8204,90.809,89.625,90.7086,79603309,stooq,1d
SPY,2005-05-18T00:00:00+00:00,91.1038,91.8713,91.0463,91.6523,101166140,stooq,1d
SPY,2005-05-19T00:00:00+00:00,91.8265,92.1394,91.5777,92.0455,81460507,stooq,1d
SPY,2005-05-20T00:00:00+00:00,92.0926,92.1203,91.6157,91.9098,60171548,stooq,1d
SPY,2005-05-23T00:00:00+00:00,91.9843,92.6083,91.9651,92.4159,66482810,stooq,1d
SPY,2005-05-24T00:00:00+00:00,92.1567,92.463,91.9749,92.2142,66100846,stooq,1d
SPY,2005-05-25T00:00:00+00:00,92.101,92.4906,91.6895,92.1394,62840231,stooq,1d
SPY,2005-05-26T00:00:00+00:00,92.4256,92.7385,92.2973,92.616,56457030,stooq,1d
SPY,2005-05-27T00:00:00+00:00,92.6248,92.7771,92.4351,92.7771,31938170,stooq,1d
SPY,2005-05-31T00:00:00+00:00,92.6438,92.7002,92.1298,92.195,58235805,stooq,1d
SPY,2005-06-01T00:00:00+00:00,92.2321,93.2955,92.1662,92.9691,90578238,stooq,1d
SPY,2005-06-02T00:00:00+00:00,92.7573,93.2401,92.6618,93.1749,52473180,stooq,1d
SPY,2005-06-03T00:00:00+00:00,93.0075,93.2774,92.3681,92.6812,79132178,stooq,1d
SPY,2005-06-06T00:00:00+00:00,92.5987,92.7289,92.2514,92.6083,47090192,stooq,1d
SPY,2005-06-07T00:00:00+00:00,92.8868,93.5473,92.5987,92.6715,86439762,stooq,1d
SPY,2005-06-08T00:00:00+00:00,92.9128,93.0449,92.3319,92.5167,64835717,stooq,1d
SPY,2005-06-09T00:00:00+00:00,92.3777,93.0353,92.1567,92.95,74095502,stooq,1d
SPY,2005-06-10T00:00:00+00:00,93.017,93.0735,92.2886,92.7289,47313638,stooq,1d
SPY,2005-06-13T00:00:00+00:00,92.5451,93.4095,92.4437,93.0353,64161616,stooq,1d
SPY,2005-06-14T00:00:00+00:00,92.931,93.5205,92.8782,93.2497,44069738,stooq,1d
SPY,2005-06-15T00:00:00+00:00,93.4833,93.5386,92.7573,93.4192,69849454,stooq,1d
SPY,2005-06-16T00:00:00+00:00,93.4192,93.8527,93.2955,93.6622,60481961,stooq,1d
SPY,2005-06-17T00:00:00+00:00,93.778,94.0575,92.9598,93.6525,69674611,stooq,1d
SPY,2005-06-20T00:00:00+00:00,93.4095,94.0105,93.3052,93.6622,54743056,stooq,1d
SPY,2005-06-21T00:00:00+00:00,93.7494,93.8621,93.3711,93.7309,51922987,stooq,1d
SPY,2005-06-22T00:00:00+00:00,93.8813,94.0766,93.4095,93.8056,60507627,stooq,1d
SPY,2005-06-23T00:00:00+00:00,93.6144,93.8153,92.463,92.481,81419546,stooq,1d
SPY,2005-06-24T00:00:00+00:00,92.5002,92.5987,91.6981,91.7987,76717789,stooq,1d
SPY,2005-06-27T00:00:00+00:00,91.789,92.1394,91.6254,91.9375,66314322,stooq,1d
SPY,2005-06-28T00:00:00+00:00,92.1298,92.7672,92.1107,92.6812,55236612,stooq,1d
SPY,2005-06-29T00:00:00+00:00,92.8698,92.8868,92.3969,92.463,55809757,stooq,1d
SPY,2005-06-30T00:00:00+00:00,92.7483,92.8324,91.7708,91.9566,80752313,stooq,1d
SPY,2005-07-01T00:00:00+00:00,92.1662,92.4351,91.9843,92.2321,64528799,stooq,1d
SPY,2005-07-05T00:00:00+00:00,92.1479,93.0735,91.9651,92.9598,66817081,stooq,1d
SPY,2005-07-06T00:00:00+00:00,92.8868,93.0735,92.1394,92.195,70081196,stooq,1d
SPY,2005-07-07T00:00:00+00:00,91.2597,92.5549,91.2504,92.5549,133847627,stooq,1d
SPY,2005-07-08T00:00:00+00:00,92.5719,93.6144,92.3586,93.6144,83664926,stooq,1d
SPY,2005-07-11T00:00:00+00:00,93.6237,94.1893,93.6047,94.0766,64510392,stooq,1d
SPY,2005-07-12T00:00:00+00:00,94.0479,94.6211,93.8527,94.3186,67617812,stooq,1d
SPY,2005-07-13T00:00:00+00:00,94.3283,94.5359,94.1141,94.4605,53526269,stooq,1d
SPY,2005-07-14T00:00:00+00:00,94.8489,95.2317,94.5081,94.8489,83956810,stooq,1d
SPY,2005-07-15T00:00:00+00:00,94.7456,94.9255,94.3943,94.7819,72760901,stooq,1d
SPY,2005-07-18T00:00:00+00:00,94.5167,94.6211,94.1512,94.3855,73693063,stooq,1d
SPY,2005-07-19T00:00:00+00:00,94.6882,94.9646,94.442,94.9064,77137207,stooq,1d
SPY,2005-07-20T00:00:00+00:00,94.5933,95.4517,94.3378,95.2317,90220508,stooq,1d
SPY,2005-07-21T00:00:00+00:00,95.3178,95.3656,94.489,94.6977,130638853,stooq,1d
SPY,2005-07-22T00:00:00+00:00,94.8203,95.3276,94.6211,95.3178,72497401,stooq,1d
SPY,2005-07-25T00:00:00+00:00,95.2032,95.6241,94.7916,95.0413,74654387,stooq,1d
SPY,2005-07-26T00:00:00+00:00,95.0701,95.3178,94.4041,95.1743,55541585,stooq,1d
SPY,2005-07-27T00:00:00+00:00,95.2891,95.5763,94.9255,95.5096,58666374,stooq,1d
SPY,2005-07-28T00:00:00+00:00,95.6626,96.1793,95.3848,96.122,62794999,stooq,1d
SPY,2005-07-29T00:00:00+00:00,95.9975,96.1699,95.2891,95.4614,80939598,stooq,1d
SPY,2005-08-01T00:00:00+00:00,95.5475,95.7007,95.2414,95.3943,55656294,stooq,1d
SPY,2005-08-02T00:00:00+00:00,95.5668,96.1505,95.4614,95.9878,59936952,stooq,1d
SPY,2005-08-03T00:00:00+00:00,95.8729,96.2757,95.7678,96.256,48213913,stooq,1d
SPY,2005-08-04T00:00:00+00:00,95.8539,95.9113,95.337,95.4517,66159563,stooq,1d
SPY,2005-08-05T00:00:00+00:00,95.2414,95.6528,94.6594,94.8203,69617710,stooq,1d
SPY,2005-08-08T00:00:00+00:00,95.0222,95.2032,94.4135,94.6404,62526702,stooq,1d
SPY,2005-08-09T00:00:00+00:00,94.9351,95.3563,94.8106,95.1935,61596618,stooq,1d
SPY,2005-08-10T00:00:00+00:00,95.5382,96.0739,94.7733,95.1648,94769722,stooq,1d
SPY,2005-08-11T00:00:00+00:00,95.1075,95.6912,94.8967,95.5382,76325197,stooq,1d
SPY,2005-08-12T00:00:00+00:00,95.337,95.4232,94.7169,94.9351,71045628,stooq,1d
SPY,2005-08-15T00:00:00+00:00,95.0701,95.5668,94.7819,95.5382,46957078,stooq,1d
SPY,2005-08-16T00:00:00+00:00,95.2317,95.3083,94.1801,94.2842,93673080,stooq,1d
SPY,2005-08-17T00:00:00+00:00,94.2651,94.8106,94.1426,94.2748,81024622,stooq,1d
SPY,2005-08-18T00:00:00+00:00,94.1512,94.5742,94.0105,94.2651,69401776,stooq,1d
SPY,2005-08-19T00:00:00+00:00,94.6211,94.7733,94.2748,94.489,51787026,stooq,1d
SPY,2005-08-22T00:00:00+00:00,94.5839,95.0701,94.0383,94.489,90662870,stooq,1d
SPY,2005-08-23T00:00:00+00:00,94.5167,94.602,93.4735,94.3093,73570968,stooq,1d
SPY,2005-08-24T00:00:00+00:00,94.0766,94.7073,93.4192,93.4735,102573449,stooq,1d
SPY,2005-08-25T00:00:00+00:00,93.6431,93.8716,93.5301,93.8153,46202873,stooq,1d
SPY,2005-08-26T00:00:00+00:00,93.7309,93.7396,93.1023,93.1749,80310082,stooq,1d
SPY,2005-08-29T00:00:00+00:00,92.95,93.9578,92.8782,93.8813,72846444,stooq,1d
SPY,2005-08-30T00:00:00+00:00,93.5473,93.5952,92.8868,93.3903,96333211,stooq,1d
SPY,2005-08-31T00:00:00+00:00,93.511,94.6499,93.1577,94.5839,133525414,stooq,1d
SPY,2005-09-01T00:00:00+00:00,94.5265,95.0032,94.0766,94.5081,96667869,stooq,1d
SPY,2005-09-02T00:00:00+00:00,94.7916,94.8203,94.1512,94.3283,61770555,stooq,1d
SPY,2005-09-06T00:00:00+00:00,94.6499,95.5188,94.6404,95.4327,74213319,stooq,1d
SPY,2005-09-07T00:00:00+00:00,95.3848,95.7774,95.251,95.5859,54141145,stooq,1d
SPY,2005-09-08T00:00:00+00:00,95.4041,95.6626,95.1456,95.2891,50644504,stooq,1d
SPY,2005-09-09T00:00:00+00:00,95.5475,96.2757,95.5188,96.1505,57175720,stooq,1d
SPY,2005-09-12T00:00:00+00:00,96.0356,96.2082,95.8825,95.9495,42810053,stooq,1d
SPY,2005-09-13T00:00:00+00:00,95.7581,96.007,95.3083,95.4041,75795606,stooq,1d
SPY,2005-09-14T00:00:00+00:00,95.4712,95.5954,94.9064,95.0604,71540874,stooq,1d
SPY,2005-09-15T00:00:00+00:00,95.2988,95.3943,94.8394,95.0032,95466765,stooq,1d
SPY,2005-09-16T00:00:00+00:00,95.0509,95.4614,94.8106,95.2891,97773183,stooq,1d
SPY,2005-09-19T00:00:00+00:00,95.2605,95.3178,94.6306,94.9552,69181180,stooq,1d
SPY,2005-09-20T00:00:00+00:00,95.0604,95.3656,94.0287,94.1512,110175645,stooq,1d
SPY,2005-09-21T00:00:00+00:00,93.9675,94.0287,93.1845,93.2955,122503575,stooq,1d
SPY,2005-09-22T00:00:00+00:00,93.3052,93.8716,92.9222,93.6334,109657329,stooq,1d
SPY,2005-09-23T00:00:00+00:00,93.5386,94.0479,93.2861,93.7031,76949791,stooq,1d
SPY,2005-09-26T00:00:00+00:00,94.1141,94.3093,93.4095,93.8056,91280078,stooq,1d
SPY,2005-09-27T00:00:00+00:00,93.7683,94.1141,93.3617,93.7874,85746085,stooq,1d
SPY,2005-09-28T00:00:00+00:00,94.0669,94.2086,93.5205,93.8716,76093713,stooq,1d
SPY,2005-09-29T00:00:00+00:00,93.7874,94.801,93.4095,94.6499,86381438,stooq,1d
SPY,2005-09-30T00:00:00+00:00,94.6116,94.9255,94.4794,94.9255,61989726,stooq,1d
SPY,2005-10-03T00:00:00+00:00,94.8679,95.1743,94.4794,94.602,66123921,stooq,1d
SPY,2005-10-04T00:00:00+00:00,94.7456,94.916,93.4833,93.5301,78783522,stooq,1d
SPY,2005-10-05T00:00:00+00:00,93.5855,93.6047,92.2706,92.307,137472971,stooq,1d
SPY,2005-10-06T00:00:00+00:00,92.307,92.7853,91.1757,91.9749,183032972,stooq,1d
SPY,2005-10-07T00:00:00+00:00,92.3499,92.616,91.9192,92.2886,98069223,stooq,1d
SPY,2005-10-10T00:00:00+00:00,92.3413,92.3499,91.2597,91.497,68279479,stooq,1d
SPY,2005-10-11T00:00:00+00:00,91.8072,92.1203,91.277,91.3795,98044849,stooq,1d
SPY,2005-10-12T00:00:00+00:00,91.342,91.9192,90.5813,90.6635,130292275,stooq,1d
SPY,2005-10-13T00:00:00+00:00,90.6635,91.1134,90.1839,90.6001,128413310,stooq,1d
SPY,2005-10-14T00:00:00+00:00,91.1392,91.6715,90.6905,91.5498,114911881,stooq,1d
SPY,2005-10-17T00:00:00+00:00,91.634,92.0264,91.3956,91.9,89396187,stooq,1d
